,Name,Domain,SCOPE,Type,Rss,NTags
42,Beaver Galleries,https://www.beavergalleries.com.au/,AU,"CBR,PUB",https://www.beavergalleries.com.au/feed/,BG
43,CBR Canberra,https://canberra.com.au/,AU,"CBR,PUB",https://canberra.com.au/feed/,CBRC
44,CIT Student Association,http://www.citsa.com.au/,AU,"CBR,EDU",http://www.citsa.com.au/feed/,CITSA
45,Canberra Choral Society,https://canberrachoralsociety.org/,AU,"CBR,MUSIC",https://canberrachoralsociety.org/feed/,CCS
46,Canberra Critics Circle,http://ccc-canberracriticscircle.blogspot.com/,AU,CBR,http://ccc-canberracriticscircle.blogspot.com/feeds/posts/default?alt=rss,CCC
47,Canberra Film Blog,https://canberrafilmblog.com/,AU,"CBR,LIFE",https://canberrafilmblog.com/feed/,CFB
48,Canberra Foodie's Adventures,https://foodpornjournal.com/,AU,"CBR,EPI",https://foodpornjournal.com/feed/,CFA
49,Canberra Gay and Lesbian Qwire,https://www.canberraqwire.org.au/,AU,"CBR,MUSIC",https://www.canberraqwire.org.au/dbaction.php?action=rss&dbase=uploads,CGLQ
50,Canberra Innovation Network,https://cbrin.com.au/,AU,"CBR,TECH",https://cbrin.com.au/feed/,CIN
51,Canberra Institute of Technology,https://cit.edu.au/news,AU,"CBR,EDU",https://cit.edu.au/cit_rss_feed,CIT
52,Canberra Jazz Blog,http://canberrajazz.blogspot.com/,AU,"CBR,MUSIC",http://canberrajazz.blogspot.com/feeds/posts/default,CJB
53,Canberra Liberals,https://canberraliberals.org.au/,AU,"CBR,PARTY",https://canberraliberals.org.au/feed/,CL
54,Canberra Philharmonic Society,http://philo.org.au/,AU,"CBR,MUSIC",http://philo.org.au/feed/,CPS
55,Canberra Quilters Inc.,https://canberraquilters.org.au/,AU,"CBR,LIFE",https://canberraquilters.org.au/feed,CQI
56,Canberra Symphony Orchestra,https://cso.org.au/,AU,"CBR,MUSIC",https://cso.org.au/feed/,CSO
57,Canberra Theatre Centre,https://canberratheatrecentre.com.au/,AU ,"CBR,PUB",https://canberratheatrecentre.com.au/feed/,CTC
58,Capital Football,https://capitalfootball.com.au/news/,AU,"CBR,SPORT",https://capitalfootball.com.au/feed/,CF
59,City News,https://citynews.com.au/,AU,"CBR,NEWS",https://citynews.com.au/feed/,CN
60,CrossFit Canberra,https://www.crossfitcanberra.net/blog,AU,"CBR,SPORT",https://www.crossfitcanberra.net/feed.xml,CFC
61,Eat Canberra,http://eatcanberra.com.au/,AU,"CBR,EPI",http://eatcanberra.com.au/feed/,EC
62,Enlighten Festival,https://enlightencanberra.com/,AU,CBR,https://enlightencanberra.com/feed/,EF
63,Floriade,https://floriadeaustralia.com/,AU,CBR,https://floriadeaustralia.com/feed/,Floriade
64,Griffin Accelerator,https://griffinaccelerator.com.au/,AU,"CBR,TECH",https://griffinaccelerator.com.au/feed/,GA
65,Her Canberra,https://hercanberra.com.au/,AU,CBR,https://hercanberra.com.au/feed/,HC
66,Kanga Cup,https://kangacup.com/news/,AU,"CBR,SPORT",https://kangacup.com/feed/,KC
67,Life in Canberra,http://lifeincanberra.com.au/,AU,CBR,http://lifeincanberra.com.au/feed/,LC
68,National Museum of Australia,https://www.nma.gov.au/,AU,"CBR,PUB",https://www.nma.gov.au/audio/itunes-rss,NMA
69,National Zoo and Aquarium,https://nationalzoo.com.au/,AU,"CBR,PUB",https://nationalzoo.com.au/feed/,NZA
70,Out in Canberra,https://www.outincanberra.com.au/,AU,CBR,https://www.outincanberra.com.au/feed/,OC
71,So Frank,http://www.sofrank.com.au/,AU,"CBR,LIFE",http://www.sofrank.com.au/feed/,SF
72,Spilt Milk,https://spilt-milk.com.au/,AU,"CBR,MUSIC",https://spilt-milk.com.au/feed/,SM
73,Tennis Canberra,http://www.tenniscanberra.com.au/,AU,"CBR,SPORT",http://www.tenniscanberra.com.au/feed/,TC
74,The Basement Canberra,https://www.thebasementcanberra.com.au/,AU,"CBR,MUSIC",https://www.thebasementcanberra.com.au/feed/,TBC
75,The Healing Foundation,www.healingfoundation.org.au,AU,CBR,https://healingfoundation.org.au/feed/,THF
76,The Q,https://theq.net.au/,AU,"CBR,ART",https://theq.net.au/home/feed/,TQ
